,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,NGDPRSAXDCIDQ,CPALTT01IDM659N,RBIDBIS,WUIIDN,IR3TIB01IDM156N,a,b,A,B,s,R_y
10,0.0,0.0,0.0,0.0,0.0,0.0,0.2469311460534713,0.0,0.0,0.0,0.5021793951091367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1604544625389031,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0,0.5
11,-0.0822369564010688,0.0,0.0,0.0,-0.0149826993915449,0.0,0.0,0.0249770960567732,-0.0502299295740936,0.0,-0.0195979231199014,0.0,0.0,0.0,-0.0347287064261097,0.0,0.0,0.0,0.0,-0.0281971444384567,0.0,0.0,0.0,0.0,0.0,-0.0790432880249412,0.0689926814411088,-0.0949829187161439,0.0,0.0,-0.1120450822017839,0.0,-0.1437532621431191,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0,0.75
12,0.0,0.0,0.1847381647726222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,20.0,0.25
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23919034819319,0.0,-0.1735103475873275,0.0,1.0,1.0,1.0,2.0,20.0,0.5
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3786343806127781,1.0,1.0,1.0,2.0,20.0,0.75
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2736585369788835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,30.0,0.25
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3675985164996834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,30.0,0.5
17,-0.0287392977189397,0.019451649028431,-0.0297641073103713,0.0029248455546384,0.0006285797735076,-0.0035939583167424,-0.0389750076860994,0.0333094214170411,-0.004056513497163,0.0216185366559614,0.0105139831794518,0.0349624937109655,0.003121037672488,0.0070028585101224,-0.0180818796997376,0.0162653079448876,0.0,-0.0012725736606012,-0.0145567923278016,0.009870689033297,0.0092593969329945,0.0028874627249875,-0.0102069376882059,-0.0022405565885381,0.0118676126143705,-0.021323108272856,0.0197992977249099,0.0328753064203838,0.0537765335889611,-0.0335122036789763,-0.0052455498410422,0.0478357417574205,0.0098104558182888,0.0005514338428333,-0.036481177306999,0.0304834600250565,-0.0040488243150539,0.0139106620870397,1.0,1.0,1.0,2.0,30.0,0.75
18,0.0771598033271622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0815803547576862,0.0,0.0466060197283331,0.0,0.072127547446876,0.0102458408744883,0.0,-0.0595581467223152,0.0,0.0,0.1384558142565877,0.0234857059335545,0.0,-0.1188108641146672,0.0800418053127302,0.0766424554051419,0.1410204401823621,0.0228217522985764,0.0,1.0,1.0,1.0,3.0,10.0,0.25
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3982777745207242,1.0,1.0,1.0,3.0,10.0,0.5
