,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CLVMNACSAB1GQCH,IRLTLT01CHM156N,QCHR368BIS,SNBMONTBASE,IR3TIB01CHM156N,a,b,A,B,s,R_y
19,0.0564449329687463,0.0712174830271863,0.0069461317016808,0.048548168155449,-0.0532720282627626,0.017346834960095,0.0533247036469876,-0.1406009101937968,0.0377789907703665,-0.0204081805760948,0.1033186586926056,0.1277132084638435,-0.0212971152235409,0.0087969763384865,-0.0477957427326392,0.0032454671310516,-0.0478019122137857,-0.0248672619262742,-0.0405335326823958,0.0478760380065936,0.025675015275287,-0.0268897920544842,0.0007127628011256,-0.1032933442332097,-0.0417746207135946,0.0844609808545482,-0.0254590775934942,0.0458546048563238,0.0540929700512657,0.0457111198088484,0.0551186931458653,0.0243462579316848,0.0078825013357385,0.0633047413428239,0.0221538122366887,0.0190266587978772,0.0527470062947822,-0.0308290369062512,1.0,1.0,1.0,3.0,10.0,0.5
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1328471434673979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,10.0,0.75
21,0.0,0.0,0.0,0.0658952657494003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0477266950987053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0649013962486361,0.0,0.0,1.0,1.0,1.0,3.0,20.0,0.25
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0918981217342358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,20.0,0.5
23,0.0,0.0,0.0,-0.0659454122735164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4178184344936328,0.0,0.0,0.0,0.0,0.0,0.0,0.3049141310753738,0.0,0.0,-0.0398272125049767,-0.0818122692473743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,20.0,0.75
24,0.0699950491689962,-0.1244780839202285,-0.1128591449977553,-0.0148233321418409,0.0514803360165919,-0.1343245111442109,0.0634968811296627,-0.0414882256482545,-0.0442934261867126,-0.1279267004090164,0.0923244935204599,0.0844124061267152,0.0300651663812835,0.007586892815263,-0.0224816977744152,0.0406733098263162,0.0102542758675456,0.0206561131870594,0.1118839059634895,0.1639307511851609,0.0421036704221913,0.0196958101893356,0.0689000069322278,-0.0933130622151031,0.0998534565136139,-0.0524635251328256,0.0636812627066255,0.0318391493575331,-0.026202390689806,0.045279816257451,0.0528545243796743,0.1050888422975045,-0.016938861472033,0.0382394970701204,0.0719004624176671,-0.0392345538241025,0.0056967079792441,0.1245283600852185,1.0,1.0,1.0,3.0,30.0,0.25
25,0.0,0.0,0.0,0.0,-0.0421489900156723,0.0,0.0,0.0,-0.1134679135647311,0.0,0.0361241146470227,0.0,0.0,0.0,0.0,0.0,0.0,-0.059451310698375,0.0,0.0,0.0225744826590492,0.0,0.0,0.0,0.0,0.0,0.0,0.146007293502694,0.0,0.0,0.0,0.0,0.0,0.0,0.0790724574192833,0.0423032897001861,0.0,0.0,1.0,1.0,1.0,3.0,30.0,0.5
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.142306366804047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,30.0,0.75
27,0.0,0.0,0.0844266336877898,0.0,0.0,0.0,0.0,0.0,0.0878295964676278,0.0,0.0,0.0,0.1771811237909731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0763708843158539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,10.0,0.25
28,0.0,0.0,0.0,0.0215309663593184,-0.0263260077094171,0.0,0.0482979535610464,0.0348527841355134,0.0,0.0110527055245624,0.0,-0.0095078561851904,0.0,-0.0590673262270552,0.0,0.0,-0.0454923002461329,0.0,0.0353313623601334,0.0,0.0,-0.0166451297613394,0.0,0.0,0.0,0.0,0.0,-0.0047492708289421,0.0001485458905312,0.0,0.0,0.0,-0.027009572487928,0.0,0.0,0.0,0.0680985550682468,-0.0183605928730423,1.0,1.0,2.0,1.0,10.0,0.5
