,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CPALTT01INM659N,NAEXKP01INQ652S,INTDSRINM193N,a,b,A,B,s,R_y
431,-0.0030703750034125,0.0216187779859461,-0.0561627268285477,0.0050076728962501,-0.0036947536978304,-0.0323248788101576,-0.0108046738739226,0.0209167126706381,0.0211443170801814,-0.0059903249865455,0.0034124942299892,-0.0207204349896425,0.0336656900471348,-0.0157880697872066,0.0266927463512297,0.0304734046361746,-0.0659632286114956,0.0533226514059356,0.0308509545564367,-0.0161922333522384,0.0098340381348611,-0.0474006682921415,0.0122882352513586,-0.0635531032130059,-0.0297389423592373,0.0548990258882387,0.0685029752636674,0.037099593642475,0.0755470705626071,-0.0487596164172348,-0.0043907363630786,0.0009862098350463,0.0076027696551305,-0.0086405187977883,0.0522759047043673,0.0171317040836175,2.0,3.0,1.0,3.0,30.0,0.75
432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1890044744760933,0.0,0.0,2.0,3.0,2.0,1.0,10.0,0.25
433,-0.0352971789091083,0.0,-0.1130227422760499,0.0234989256238649,0.0,0.0,0.0,0.0297261258957749,0.0714294509745766,0.0,0.0,0.0,0.0,0.0256818818227567,0.0479079996897251,-0.071612901035342,0.0,0.0,0.0,-0.0106917565206896,0.0,0.0,0.0844265234283382,0.0036936575997469,0.0661183640957265,0.0344888140615529,0.0,0.0,-0.0015602965175614,0.0,-0.0086861978166432,0.0,0.0,0.0105425621797145,0.0283093990557515,-0.0613451697359411,2.0,3.0,2.0,1.0,10.0,0.5
434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1407372256548617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,10.0,0.75
435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1520147239392376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,20.0,0.25
436,0.0,-0.0023243832648112,0.0,0.0,0.0,0.0,0.0085813048453523,0.0141761318747928,0.0061258030051508,0.0030264420059029,0.0,0.0,0.0032988660047306,0.0,0.0,0.0,-0.0088803034149662,0.0,0.0,-0.0035014114835928,0.0,0.0,0.0,0.0,0.0,0.0,0.0090732106337411,-0.0139012355231088,0.0,0.0,0.0,0.0,0.0,0.0266438227470279,0.0,0.0,2.0,3.0,2.0,1.0,20.0,0.5
437,0.0,0.0,0.0,0.0,0.0,-0.0089005978437237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,20.0,0.75
438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1057205875497894,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,30.0,0.25
439,0.0,-0.0232763420430992,0.0500268213785599,0.0422941942980343,-0.0345426807509369,0.0770260266674364,0.0624189297457684,0.0305210122186392,0.0,0.0,0.0,0.0186155787919564,0.0,0.1081792083658282,0.0714300886232789,-0.0874609239241811,0.0924752771797189,0.1015628193683233,-0.0392391013629105,0.0024083768129935,0.0019475350435173,0.029222519123686,-0.0265060055647826,0.0635364788333028,0.0,0.0949785857972774,0.0,0.0458254710788277,-0.0144947874891625,-0.0347314505397065,0.0609594649807716,0.014834631569618,-0.0526893729528555,0.0489094451114167,0.0,-0.0638047850500268,2.0,3.0,2.0,1.0,30.0,0.5
440,0.0628876385278339,0.0556325858883081,0.0,0.0,0.0,-0.0206317567247472,0.0310961429765139,0.0,0.0380441669985836,0.0,0.0,0.033843029586606,-0.0673821640099913,0.0,0.0,-0.0325630297163798,0.0,0.0008477870736481,0.0,-0.0095620709930602,0.0,0.0202890613271094,-0.0612465455087826,0.0,0.0,-0.0170525037437345,0.0264153236001546,-0.0501693601359075,0.0,0.0476448560764515,0.0,0.0156089101280953,0.0,-0.0567690752877371,0.0,0.0,2.0,3.0,2.0,1.0,30.0,0.75
441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2628004356995719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,10.0,0.25
442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0564232242035205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,10.0,0.5
443,-0.0806553794124649,-0.0220106039161973,0.0097336029234583,-0.0487911420512858,-0.0528876650506142,0.0115555196687948,0.0083781528927072,0.1027270530585838,0.0291427624361129,-0.0150947884751971,0.0304083272964253,0.0998538366744449,0.0010795547035305,-0.0185051438264134,0.0022396040143613,0.0,0.0271171160352379,-0.0947994470590452,-0.0500403447025288,-0.0840203457927834,0.0432868322224486,-0.0176979567505726,0.0225469545422027,0.0556711575419413,-0.020789825883917,0.0204931525521937,-0.0008134877531691,-0.0186402623383584,0.0,-0.0183386655263922,-0.0136316689001022,0.0032214039458594,0.0189714098998552,-0.0015542915210798,0.062536361050348,-0.0244801392294707,2.0,3.0,2.0,2.0,10.0,0.75
444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1488090168823187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,20.0,0.25
445,0.0,0.0,0.0299365844377426,0.0,0.0,0.0,-0.0958569386128199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035394863608534,0.0,0.0,0.0735280287068629,0.0,-0.0295309182493711,0.0,-0.0532518690992468,0.0,-0.0614677445895432,0.0959052509048823,0.0,0.0586181966482802,0.0,0.0,0.0072987374709376,0.0,0.0,-0.1266875359715319,0.0,0.0,0.0,2.0,3.0,2.0,2.0,20.0,0.5
446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1387179301237054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,20.0,0.75
447,-0.004993784407561,-0.0101619531963821,0.0,-0.0256058747988098,-0.0231944618056534,-0.0069721567739992,-0.0077704414749615,0.0134758590979397,-0.014646707664096,-0.0056757682372081,-0.0156991117020347,0.0126782104074464,0.0,-7.418265081118392e-05,0.007572242631571,0.0,-0.0282022189629429,-0.010317825174352,0.0164760147844742,-0.0119737356017163,-0.0034605849401617,-0.0107026979987492,0.0,0.002194338438256,-0.0225854000781212,-0.0178337455276327,0.0097987207081533,0.0023258238607586,-0.0129822032830035,-0.0061579819271137,-0.0241949592499487,0.0,0.011388984448596,0.0109560888700466,-0.0058148721918937,0.0076795085077513,2.0,3.0,2.0,2.0,30.0,0.25
448,0.0764292028408441,0.0261610777074947,-0.0352042826588721,0.0215013057427092,0.0045294645977946,0.0300673180354941,-0.0360392047846567,0.0252440214179211,-0.0114460501741863,-0.0754588206930785,-0.0286493732671577,0.0007904442914226,0.0587888027906259,0.0063191047724357,-0.0193863312586354,0.0,-0.0318479880122292,-0.010742555625808,0.0009944797266173,0.0354899066745748,-0.0390975785896489,-0.0438095331080877,-0.0252793723678069,-0.0513040868885186,0.0062117915534859,0.014176113292397,-0.0093384762145391,0.0091393996271903,-0.022497604058759,-0.0113363698294307,-0.0360381633867876,-0.0010807773177045,-0.0009982573192889,0.0545304200956602,0.0302770747110396,0.0036465007634353,2.0,3.0,2.0,2.0,30.0,0.5
449,-0.0036141770634407,0.002946687009672,-0.0144062267960204,0.0069514925190699,-0.0057910685857869,-0.0229984248291497,0.0231163305076089,-0.0073382315772706,0.0022530798018544,-0.005083881875149,-0.0084959985889628,0.0187383725836134,0.0002229344497684,-0.020920141743585,0.0262212886689046,-0.0039909260723066,-0.0270307567063634,-0.0037775489851394,-0.0279468277718169,-0.004912548623139,-0.0143478147967901,0.0063781685020655,0.0158320622633409,0.001840462417676,0.0009282519119197,-0.0020980760145852,0.0084702254545584,-0.0184897908405789,0.0006506439940986,0.0040420309711076,-0.0016854610616244,0.004142696658642,0.0226867887420967,-0.0196472391891924,-0.0179743555875073,0.0040047008287537,2.0,3.0,2.0,2.0,30.0,0.75
450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054971383288213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,10.0,0.25
451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028195534176927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0525851474614108,0.0,0.0,0.0509063006110676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,10.0,0.5
452,0.0,0.011351983700472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1138914057574214,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,10.0,0.75
453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1121413751768202,0.0,0.0,2.0,3.0,2.0,3.0,20.0,0.25
454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1143586382378153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,20.0,0.5
455,-0.0522569620082722,0.001099623913582,-0.0471208704116811,-0.0161455678635444,-0.0437770859289115,-0.0981177834494626,0.0213034431837625,0.0499436772925279,0.0122931316230567,0.0150868073441493,0.0341891628670252,-0.0742371727292135,-0.026839984826008,-0.0025449937147971,-0.0061740541631646,0.0029503296375398,0.0174918686813824,0.0350799125356479,-0.0293083777707154,-0.0123587036403582,-0.0842262083414327,-0.0237519828728038,-0.093937481316692,-0.0469767741357441,-0.0031296434876731,0.0631881781171318,-0.0326456326582029,-0.0163953330987387,0.0135118604433109,0.0426581819583481,0.0,0.0355102487244093,0.0349807934008966,-0.0402166136698465,0.0545758296897433,-0.0071930566243354,2.0,3.0,2.0,3.0,20.0,0.75
456,0.0,0.0,0.1003908149138547,0.0005832454720423,-0.085934255325776,0.0282677524328235,-0.0369642824177642,-0.0898152502555131,0.0,-0.02037319343775,0.0553726990809867,0.0,-0.0240547128247411,-0.0602252222253666,-0.0176739934984512,-0.119155401669035,-0.0064087042156605,0.1000881022308673,0.0,0.0,-0.0190008361735385,0.0,0.0778562217882078,0.0036018792022434,-0.0161101778876811,-0.0482815370856826,0.0277488985160142,0.0299853239611622,-0.0908299679676295,-0.0264352931221413,-0.0685971492523425,-0.0562096543690567,0.0,0.0620942926043624,0.0,0.0,2.0,3.0,2.0,3.0,30.0,0.25
457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0823525732733423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,30.0,0.5
458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1028375050194994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,30.0,0.75
459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1012850150314181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,10.0,0.25
460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0605271123373346,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,10.0,0.5
