,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,INTDSRTRM193N,RBTRBIS,CPGREN01TRM657N,IRSTCI01TRM156N,a,b,A,B,s,R_y
10,0.0,0.0028373313426096,9.173235724288868e-05,-0.0552613774202691,0.0,0.0,0.1010368193091911,0.0,0.0,-0.0625699963371057,0.0,0.0,0.0,0.0,0.0,0.0,-0.0211754129720091,0.0,0.0,0.0268352055033417,0.1974312414745743,0.067856364185034,0.0,-0.0550143508573031,-0.0133780388418369,0.0,0.0,0.0,0.0,0.0,0.0,0.116677614993969,-0.095323988117509,-0.0095535240216078,0.0,0.0,-0.1025367038044312,1.0,1.0,1.0,2.0,10.0,0.5
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4886087408124285,1.0,1.0,1.0,2.0,10.0,0.75
12,0.0,-0.1266731673159748,0.0,-0.0246527546617925,-0.211263029885965,0.0,0.0,0.0,-0.0018521960639836,0.0,0.0256466792642234,0.0,0.2704617398479856,-0.0062506803508885,0.0,-0.1648169349721475,-0.1142151758459774,0.0226676388728463,0.0,0.2658181228893842,-0.1235627266287318,0.2071484019101775,0.0,-0.1581673251992915,0.0592700246704986,0.0,0.0,-0.1205506949116362,0.0,0.0,0.0,0.0,-0.0356150725101948,0.0,-0.1101750773436056,-0.1312819848120482,-0.3385102869352938,1.0,1.0,1.0,2.0,20.0,0.25
13,0.0,0.0,0.0,-0.0030552095866317,0.0,-0.0042491634984103,0.0364969308382189,-0.1227591987507416,0.0,0.0,0.0,0.085408726610207,0.0,0.0,0.0,0.0,-0.081958380878964,-0.0800564066589307,0.0,0.0776380912119714,0.0,0.0,-0.1670512648920851,0.0,0.0,0.0,0.0,0.0,0.1053068644493409,0.0,0.0,0.020954537939047,0.1055981459275359,0.0,0.0,0.0377139003229528,-0.0709662932001158,1.0,1.0,1.0,2.0,20.0,0.5
14,0.0,0.0,0.0,-0.1658931269138627,0.0359227413258858,-0.0507222006142725,0.0,-0.0161088904591242,0.0,0.0,0.0,0.0,0.0,0.0060730429256251,-0.0905218832131864,-0.0428712968448007,0.0,-0.1036291292788466,0.0734952778739278,0.0,0.1692652417005971,0.0,0.0586750246180617,0.0,0.0,0.0,0.0,0.0,-0.0395872950041542,0.0741502677703799,0.0,0.0,-0.0014815025152957,0.0,0.0,0.0,-0.0413980436475517,1.0,1.0,1.0,2.0,20.0,0.75
15,0.1278214575507926,0.0,-0.0951128185865296,-0.0127884635917684,0.0,0.1463599302851558,0.1262004224631078,0.0,0.0,-0.0449194005266874,0.0,0.0885713405320834,0.1337210260095249,0.0,0.109142393149356,-0.1311878515534086,0.0,-0.0682187591362186,-0.0042625223249621,0.0,0.0,0.0,-0.1862586289591017,0.0,0.0,0.0,0.0,0.1086081206000562,0.0,-0.09969252793353,0.1091938833414676,0.0,0.0,-0.2231490843178068,0.0,0.0,-0.3486498486204937,1.0,1.0,1.0,2.0,30.0,0.25
16,-0.000428072159409,0.136891824172779,-0.0313809510759112,-0.0526629560374913,-0.0774796013366397,-0.108207641248388,0.0998488193663071,-0.0546327783786508,0.1230118262764956,0.0689853502046786,0.0242126126826865,-0.0104745642675895,0.0384989984643769,0.0663015025491896,-0.1073830445605702,0.0149313962550325,-0.0253942285059683,-0.0282959414416738,-0.0944957455907388,0.0430088549986615,-0.1142367688355614,0.1467868938269878,-0.0202834320240577,-0.1744957201189606,0.2272314603461621,0.2063765072132374,0.1837721476980149,-0.0455377173520592,-0.0715057516321588,-0.059328669376467,-0.1433003551173766,0.1617040046183524,0.1516579796737843,-0.2088818853951449,0.0768999019801101,-0.2448688636228273,-0.0159636287675453,1.0,1.0,1.0,2.0,30.0,0.5
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101508717464371,0.0,0.0,0.0713334475507603,0.0,0.0,0.0,-0.0845751412233969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0099799286862543,0.0,-0.3655961788519797,1.0,1.0,1.0,2.0,30.0,0.75
18,0.0,-0.0592338480228131,0.1087730734399818,-0.1336454735086977,-0.1683381950204455,0.0,0.0,-0.1590400053304789,0.0,0.25831772363245,0.0,-0.0776237673825229,-0.1053326159326906,0.0,0.0,0.0,0.0,0.0,0.0528052058999,-0.0454875756882779,-0.0345222517813978,-0.0189717808141364,0.0620419969328154,-0.1109486421790956,0.0,0.0093862706192184,-0.0589573427399673,0.0,-0.0871151449889353,0.0062410086903356,0.0,-0.0444330288189538,0.0,-0.0707608877220982,-0.0573813465148976,-0.109933826052023,0.1433269122936095,1.0,1.0,1.0,3.0,10.0,0.25
19,0.0,0.0,0.0,0.0,0.0,-0.186998343206336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5011348537305594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3527649919882047,1.0,1.0,1.0,3.0,10.0,0.5
