,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,NAEXKP01CLQ652S,LRUNTTTTCLM156S,a,b,A,B,s,R_y
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6163903418889671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,20.0,0.75
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0806800129158325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,30.0,0.25
16,-0.1123536744178742,0.1468316987783274,-0.1127131278724323,-0.0466730437778597,0.0697411356467154,0.0609336985218695,-0.0881117210836934,-0.0357556694198256,0.062131900775978,-0.1176658208703024,0.0438637160474611,-0.0094741174956621,0.0989255116572752,0.0082277851796314,0.1267887552633601,0.0274331151759064,-0.0556013375989717,-0.0283241911827693,-0.0525007884939153,0.0567912653297839,0.1113753429896836,-0.1085211947347164,0.0335088006808451,0.05148400100418,0.0102325153542422,-0.0528752155211342,0.0735629078397036,-0.03664519414506,0.1218578715632885,0.0,0.0546521479553711,0.0,-0.0300485747815999,-0.0133346393121991,0.0209379067847517,1.0,1.0,1.0,2.0,30.0,0.5
17,0.0,0.0,0.0470952301114731,0.0,0.0,0.0,0.0,0.0,-0.0782120967844381,0.0193990698638897,0.1149057667025423,0.0,0.0,0.0,0.0,0.0,-0.3207618057315644,0.0,0.0,0.0,0.0,-0.0892508268747268,0.0,0.0,-0.2706634731445549,0.3214151640140357,0.0,0.2491344668155237,0.0,0.0,0.3262717605333607,0.0,0.0,0.1669166632206296,0.3260862990645015,1.0,1.0,1.0,2.0,30.0,0.75
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1636446590689289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,10.0,0.25
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0622000315000817,0.0,0.0,0.0641653558410014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,10.0,0.5
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0415221157198421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2064324283532621,0.0,1.0,1.0,1.0,3.0,10.0,0.75
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558603656809727,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,20.0,0.25
22,0.0,0.0640047085454858,0.1222074399951193,-0.052995634116537,-0.0026839812230272,-0.0776418188866,0.0,0.0,-0.0586316656833805,0.0,0.1508640906755114,0.0,0.127404785026034,0.03978218583297,0.109280346885233,-0.1093762383619291,0.0,0.1322751888901872,0.0,-0.0992820753210782,0.0,0.0,0.1181362945521543,0.0,-0.1064721541020356,0.0990056148107693,0.0,0.0,0.0394438952057925,0.0,0.2000537358677699,0.1089098464995627,0.0090333798653926,0.1386558631121476,0.0963176254215061,1.0,1.0,1.0,3.0,20.0,0.5
23,-0.0323534705428664,0.0,0.0464195928560552,0.0,0.0808465830265188,0.0,0.0374872789707095,-0.0164905177297758,0.0433232586628116,0.0583180364376205,0.0278058515013287,-0.0783483882056963,0.0,-0.0723147793247607,0.1538285960517281,-0.1254813649230644,0.0090107539028486,-0.0426553777222891,-0.0681984245804061,-0.0562956165489966,0.0,0.0340817781740185,-0.018483112774603,0.0946352370966899,0.0205049212571672,0.0696709841819542,0.0385166608292079,-0.0461038359257271,-0.0493853717897671,0.0,-0.051962265648762,0.0152495126899774,-0.0580154155422766,-0.0145509679302239,0.0298221893935523,1.0,1.0,1.0,3.0,20.0,0.75
