,a,b,A,B,R_y,s,mae_test,mse_test,R2_test,SR_test,mae_val,mse_val,R2_val,SR_val,mae_train,mse_train,R2_train,SR_train
0,3,1,2,2,0.25,30,1.6128232825641375,5.371501350357124,0.0781742843644444,0.5271356043939057,1.4736104383239186,4.5477477028890645,0.0978998681018192,0.3616069007269372,2.189515672064184,9.229987629036255,0.012138694335627,0.144441417284184
0,2,3,3,3,0.25,30,1.6165133384988168,5.29577007496189,0.0911708439078137,0.5408599527912966,1.5218751527794143,4.580927981307061,0.0913181631584515,0.3765332303322639,2.066046732822441,7.96653789038576,0.1473623976197137,0.5792215753645716
0,3,1,1,2,0.5,20,1.7809539767334204,5.868118712583298,-0.0070522892639413,0.616579878296109,1.668604338143041,5.158283609989229,-0.023207228928596,0.6906695975683701,2.095146759945142,8.269024042383442,0.1149881001593581,0.4749958572651275
0,2,3,3,2,0.25,20,1.6827451861744207,5.4109852416679765,0.071398289351191,0.4904567165151495,1.6121056361978905,4.792160143025369,0.049417738289638,0.020287472368180348,2.179384772712716,8.553048098623178,0.0845897522618568,0.635257257471419
0,2,2,1,2,0.5,20,1.5874536273951063,5.405472947821179,0.0723442770534523,0.4488368080204137,1.4664668328555002,4.561352161853181,0.0952012610049178,0.33854264092423303,2.169507371359652,8.857212566405199,0.0520358290762382,0.5190568649882057
0,1,2,2,2,0.75,20,1.6714165386895052,5.325462398386168,0.0860752206352536,0.5462027108062343,1.567003466120502,4.5047198778219135,0.1064349516649882,0.8916418236373547,2.1539085804426183,8.52643855061968,0.0874377022148101,0.4428436972608293
0,2,3,3,1,0.5,20,1.797091061745136,5.363670157009592,0.0795182280667742,0.5728606403263137,1.688186384844513,4.93665302738306,0.0207558470517806,0.43210720655228235,2.190683528916084,8.68999397976554,0.0699327947026648,0.3471650988473284
0,2,1,3,1,0.5,10,1.858409641717677,5.803080839041427,0.0041091310561268,0.5090280288332514,1.71294972560204,4.957236037154736,0.0166729609633341,0.5034430389205252,2.136076340465395,8.5570224828841,0.0841643843650618,0.6284093724481643
0,3,2,2,2,0.5,20,1.6537283663221836,5.510265752314511,0.0543603474786976,0.3756881085297345,1.531232448385804,4.587729639583949,0.0899689729153763,0.3793743105683191,2.141168006793841,8.635602695899278,0.0757541507928784,0.6577066027501879
0,3,2,3,3,0.5,10,1.5973598897886685,5.363499931840315,0.0795474411169537,0.5670903842524623,1.5084331094093506,4.610110207439571,0.0855295196885211,0.2032723965296226,2.145741826716566,8.987235814095133,0.0381197827723807,0.4351127318036862
0,2,2,1,3,0.5,20,1.6636908256358294,5.804115774500223,0.0039315214721921,0.5151495806936308,1.5273260520510792,4.988673079993976,0.010437047639965,0.5254822355824131,2.1819797924974287,8.52883297737341,0.0871814330155086,0.4518055898808775
0,1,2,3,1,0.5,20,1.6264159496745425,5.667465682406085,0.0273826128375453,0.4613481620075197,1.5034405036525629,4.834648228267212,0.0409897185742041,0.458155261082155,2.219266012793868,9.414742096918925,-0.0076350905496032,0.2150369060817264
0,2,1,2,3,0.5,30,1.705472717316996,6.582831295065222,-0.1297070918688652,0.3159812016693723,1.5913118397365245,5.394138231453335,-0.0699918130858046,-0.00035695798176177407,2.199473154742948,9.083785660533367,0.0277863065861152,0.3480889514515334
0,1,2,3,2,0.75,10,1.6035639571854117,5.292168219189554,0.091788973376352,0.4955761098841715,1.56228038939169,4.675663170005504,0.072526305781233,0.15621580674172775,2.273239855476344,9.20105318182269,0.0152354721377067,0.4264721215669643
0,3,2,3,2,0.25,10,1.699909318475732,5.449052394180392,0.0648654267829573,0.5807715032743807,1.641165477520749,4.918416021485431,0.0243733752218742,0.419586579629117,2.094770132387073,8.515296716219838,0.0886301834531489,0.6080726262792187
0,3,3,1,1,0.25,10,1.6952780457416543,5.23374841856096,0.101814638643691,0.544457879171901,1.5807557329242037,4.645641749582961,0.0784814134723967,0.8473591721822212,2.311580986076366,9.719364303592537,-0.0402380043251633,0.2547047467623717
0,3,2,1,2,0.25,30,1.7649839786228805,5.795246516334581,0.0054536118008404,0.4250705594896398,1.538369116377285,4.779259959814,0.0519766438703267,0.6026518990592207,1.960486695601166,7.518991123982656,0.1952621512026988,0.5207075493580358
0,3,2,3,3,0.25,30,1.732939563495944,6.405671188947147,-0.0993039082983151,0.5264265796611507,1.6124847207055744,5.314254363967226,-0.0541458928404983,0.04129494699872016,2.282817937160965,9.53990453919711,-0.021030897631739,0.274241636330143
0,2,2,3,1,0.5,30,1.8156398580469,6.559724100604143,-0.1257415700005708,0.2086803841228887,1.6008484464358197,5.196371512259807,-0.0307624197410032,-0.1395457108975524,2.2416853316709187,9.33265810682468,0.0011501430701637,0.2871159595923757
