,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CPALTT01ZAM657N,LRUN64TTZAQ156S,QZAR368BIS,NGDPRSAXDCZAQ,IR3TIB01ZAM156N,IRLTLT01ZAM156N,a,b,A,B,s,R_y
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3276485047403346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0,0.5
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012350514303412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3111157593495007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0,0.75
12,0.0,0.0,0.0,0.1027881372775824,-0.345323469656433,0.0,0.0,0.0,0.0,-0.4332165485913509,0.0,0.0,0.0,0.0,0.0,0.1167802153399685,-0.2862845168160548,0.0,0.0,-0.0960029378852111,0.0,-0.4714685591611877,0.0,0.2621275999477901,0.0,0.3524407371862449,0.0,0.0,0.0,0.0,0.0,-0.1223466422058808,0.0,0.187977089757525,0.0,0.0,0.0,-0.1414021498587499,0.0130654120496233,1.0,1.0,1.0,2.0,20.0,0.25
13,0.0,0.0191893397960196,-0.1655762130980946,0.0621784070278761,-0.076440440454909,0.0680160044053612,0.1285229472293066,0.0054587073404142,-0.0608197963638819,0.0559989496410035,0.195768841510918,0.0891720729642717,-0.0424309336697375,0.0445019000298399,0.245735656418914,-0.0852979369823406,0.0296919762837147,-0.0800223381702934,-0.1829125239505809,-0.1678095797057495,-0.2947278604624148,0.2926538447357061,0.1314618449787643,-0.1744043928340506,-0.0702499169310309,-0.0492304382658574,-0.0932521641331043,0.1020456820935029,-0.0714608483089974,0.0121246795589307,0.1635741711748901,0.1796541032564803,-0.0109721167838055,-0.0725047459100035,0.0749886964714063,-0.0641099090151466,0.1205713992512787,0.005763364421748,0.0861309121041951,1.0,1.0,1.0,2.0,20.0,0.5
14,0.0,0.0,0.0,0.0,-0.2019662248881749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8229504274204315,0.0,0.0,0.0,-0.4272103564117301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4617318279639854,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,20.0,0.75
15,-0.2171844179332894,-0.1956234428728613,0.1034484671816139,0.069188017169156,-0.0675872810698275,0.0339394274740827,0.2070491776474817,-0.3699804618909617,-0.2555430574692472,-0.1584789979954959,-0.1241844009944187,0.1903873681287872,-0.366241832855855,-0.3714212306436021,0.292072929984648,0.1687417041242576,-0.1771705960097133,0.113013991037273,-0.3323554615449705,0.1158336596037503,-0.3406982569810004,0.1158384702616421,0.2404301723791833,-0.0736516743615961,0.154400459571176,0.4718207207776631,0.1055999718626484,0.3729545013011021,-0.1678017061899837,-0.2406228931357472,0.0743241813938376,-0.1035187470090469,0.2091119178686621,0.2265982022927974,0.2808418450703892,-0.0342811370731421,0.3129484574998429,0.0244824129612693,0.0188114175582167,1.0,1.0,1.0,2.0,30.0,0.25
16,0.1492456106894473,0.1980808298850816,0.0,0.0,0.0295602392344619,-0.4686154054421271,0.0717779951471957,-0.3505300738204249,-0.4865751056278811,0.0,0.0,0.1571866901935529,0.0,-0.1293964254927228,0.5618275826517943,0.4094147715741674,-0.3044891672807952,0.0938034074161423,-0.5475170017809711,0.4203625187470917,-0.1117387376559777,0.2581798993465815,0.8596142218262607,-0.4090675442729393,0.2239080398696152,0.1226697594017011,0.1971420724030541,0.3170834383744054,-0.0042889469414653,0.305635541558228,0.4965393479112882,0.0,-0.1477211496876686,0.0,-0.0119004201774398,0.0,0.2029299294502802,0.1461478508179297,0.1619004057298272,1.0,1.0,1.0,2.0,30.0,0.5
17,0.1354190279603158,0.1661343714700593,0.0006080061732731,0.0927844669526599,0.0733373587108443,-0.056282242857759,-0.0358585511944173,-0.2740055923012744,-0.046567232159526,-0.1526355246368081,-0.0899566093476062,0.1410873020978075,-0.0498061753724928,0.0522039401745802,0.1566117156889926,-0.1111460680714754,0.2337466474807309,-0.1861200775586156,0.1368744391220039,0.071767251490197,-0.1237168055847672,-0.0396753714866919,0.2985010236872755,0.0996561427339136,0.0511368261699003,-0.1286350544458214,0.0238597658517745,0.1716825052671344,0.1688799788377825,-0.0808501149650142,-0.0651100861024009,0.3560240728755771,0.3214982724996948,0.0318276056614599,0.0106081485744267,-0.1212363856688965,0.0542176230580028,0.0593500646233512,0.0812412685071471,1.0,1.0,1.0,2.0,30.0,0.75
18,-0.2383757030806769,0.3776578349108076,-0.1195970183947008,-0.2152956568133963,0.0061966785388471,0.1602855635172231,0.1855421408954659,0.173392811736947,0.0631893236062447,-0.2252761859125355,0.0969449703457884,0.1335119557962569,-0.0410153849454146,0.0098483270112901,0.4486236288074382,-0.1709978170175724,-0.0533448307461049,-0.2057234198126827,-0.1063044345704435,0.2764551899055456,5.7388436389027575e-05,0.1668264197693289,-0.0009455274602226,0.0370786398726545,-0.1410781231429693,0.1161616368849572,-0.0780710872605569,0.0762965500489572,0.0379973004813307,-0.0146494063811455,0.1330778721570592,0.1043438701237441,-0.0102040784104384,0.1216369085777765,0.2566177144173526,-0.0537745137561564,0.0308207058301019,0.291457264197253,-0.2634081364943496,1.0,1.0,1.0,3.0,10.0,0.25
19,0.0,0.0,0.0,0.0,0.0,0.0,-0.3241123032094795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,10.0,0.5
