,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CLVMNACSCAB1GQCZ,IRSTCB01CZM156N,IR3TIB01CZM156N,CPGRLE01CZM657N,IRLTLT01CZM156N,NAEXKP06CZQ652S,CPGREN01CZM657N,a,b,A,B,s,R_y
599,-0.0024427372310357,-0.0172905552084516,0.2127952232128893,-0.0073480877250748,0.0088900853695933,-0.0641808853251301,0.0775630001062599,-0.2352497125837861,-0.1490028600488188,0.0790264300564842,-0.2103968280200354,-0.1148476228458615,-0.0449215187368192,-0.1589715197773396,0.1701958587193821,0.0,0.0120118183997787,-0.1308324016477584,-0.2208448506852328,-0.2839243194497238,0.1042730804228998,0.0149241078680464,0.0244739686219332,-0.0592101990105973,-0.1609158742246335,0.3486773856534793,0.052812455999083,-0.0980614091144554,0.2824082617012642,-0.331959800961457,0.176162733155499,-0.0051769400261475,0.0290079031405435,0.1591228733403877,-0.3132981987067436,-0.0341848117595762,0.0509386542926101,-0.3641351852166116,0.1552142625214293,-0.1492114672105941,3.0,2.0,2.0,1.0,20.0,0.75
600,-0.0473761194754606,-0.0773927784079361,-0.142393589314498,-0.1631976699145139,-0.2179017641606722,-0.1102032264198804,-0.0933915653334596,0.0789694756084428,0.0669927611743801,0.0601372667743529,0.007712197378387,-0.0090588179215191,0.0348410152045006,0.12710753415687,0.0586294717623764,-0.0683994384660412,-0.2716335968184786,0.0493931809242539,-0.0681892948443274,0.0584223093563888,0.0741952306768933,0.0129117954404324,-0.1398704880684822,0.151773091675459,0.0235355645631798,0.0478695089755933,0.0231262956551846,0.1638783468636541,0.0266130600509252,-0.1027616287297557,-0.0433583218314567,0.2439631250109975,0.0344912794339701,0.0206072077602275,0.1664099160623069,-0.0948521299498213,0.1638232817748879,-0.0494718325006159,-0.056468657209666,0.3170740940189037,3.0,2.0,2.0,1.0,30.0,0.25
601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923529196842757,0.0,0.0,0.0,3.0,2.0,2.0,1.0,30.0,0.5
602,-0.089151356301235,-0.0047629052549794,-0.0588277508678077,-0.1263320240573764,-0.15729819943626,-0.1818760564706572,0.1344310299555332,0.189600855796191,0.0754966228706917,0.056599035180936,-0.1365180106476504,0.0,0.0196138321454085,0.0,-0.0276270027991716,0.0308185735944279,-0.1148210905838449,0.2354642159278533,-0.2156634596520644,-0.0756597153724835,0.1863043071534036,0.0,-0.103837710963083,0.0,-0.0028007862794509,0.2968467595522164,-0.0540371328054218,0.0256997503941293,0.2061488801246187,0.1926698547348564,-0.0460657849731672,0.1350253888465667,-0.1426247180387593,0.2375542624987808,0.0571662994765897,-0.0509005812074709,0.0908667991633883,0.0247781322397808,-0.1337798093319272,0.0270939320439469,3.0,2.0,2.0,1.0,30.0,0.75
603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1446637690392692,3.0,2.0,2.0,2.0,10.0,0.25
604,0.0,-0.0231202342948793,-0.1195087047719648,-0.2829823428292941,-0.1704048903930507,0.0,0.0,0.0,0.0,0.0,0.0,-0.3761422778062758,0.0,0.0,0.0,0.0,0.0,0.0,-0.5204947263924576,0.0,0.0,0.0007620791914502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0334474966263027,0.0,0.0,0.0,0.3364946546571644,0.0,0.0,0.6549167148831477,3.0,2.0,2.0,2.0,10.0,0.5
605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.661385536522547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,10.0,0.75
606,0.0037058691474439,0.0027848279135956,0.0052053610331812,0.0,0.0202785695156624,0.0302182933876103,0.064407837301523,0.0,0.0099087072689204,-0.0177867777556091,-0.0393964403080136,-0.007054921723443,0.0,0.0166993590617885,-0.0266779984487119,0.008906561440603,0.0248200025318537,0.0612721860109917,-0.0360263112037499,-0.0128264647314005,0.0001319614090768,-0.0237757105931811,0.0152785569882574,0.0989899271269114,0.062264248527909,0.063825788551442,0.0622266423335138,0.0100700512307821,0.0080709708061011,0.0,0.0082095957991042,0.054954351920286,-0.0179651754769823,-0.0526468828573191,-0.0295392229801056,0.0263492636217258,0.0387609931470379,-0.0094090984809707,-0.0192401798280235,0.0243956779969665,3.0,2.0,2.0,2.0,20.0,0.25
607,-0.1811645938550141,-0.0524691527913475,0.0753529066104885,0.0089033419086812,0.1355120750985621,-0.0461655793781152,0.0948257783288916,-0.1156796888588134,0.0548333817236421,0.0619158937999093,0.1237761698655652,-0.0439661629275682,0.0682385162942304,-0.183058143589807,0.1704830558897921,0.0431869135821597,-0.1728937376366039,-0.0248475021911892,-0.0125480238324663,-0.1796531279622307,0.0668120819870999,0.1692275184564339,0.073462901091083,0.0827222612913418,-0.0766700017368804,-0.1321824187275738,-0.1772718695045031,0.0494469497411823,0.0281403199311474,-0.1002683660331039,0.0302925155714314,-0.0936195277490225,-0.0070769563812341,-0.1126760767004814,0.2077363685849636,-0.0371309142085313,0.1769973515191407,-0.2715032714048283,0.0395137645843752,0.0651319451004393,3.0,2.0,2.0,2.0,20.0,0.5
608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7074737299580391,3.0,2.0,2.0,2.0,20.0,0.75
609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4902768900891645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,30.0,0.25
610,-0.0236230674484208,-0.0292042793801138,0.0383329929719444,-0.1030078249040391,0.0329921555450245,-0.0601551829136355,0.0050695865179823,-0.0976921204125824,-0.0723132518451867,-0.0019777623512537,0.0005461281992133,0.1262535891935004,0.0063495450835248,-0.0216393622052188,-0.0385348297914756,-0.0877983714180718,-0.0764440385285088,-0.1587466934230711,0.0679426967881004,-0.0271713979398929,-0.0516817985319004,0.0999996556762423,0.0302721490742974,-0.0427482845590869,0.131805244635599,0.1443686537528889,-0.066140283385474,-0.0139655579151815,0.1438881924997311,-0.0236389090451973,0.01546863677216,0.0451922688391803,-0.0829299999101325,-0.0391213925994588,0.0236292228529552,-0.0118530877334789,0.1414883670157598,-0.111898714706476,0.1251449251325842,0.2057054862197521,3.0,2.0,2.0,2.0,30.0,0.5
611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1393435983411917,0.0,0.0,0.0,0.0,-0.1749939613054514,0.0,0.0,0.0,0.0,0.0,0.2098462846219632,0.0,0.0,0.0,-0.2784167803572521,0.2891458070401658,0.0,0.0,0.5635922679869267,0.0,0.0,0.0,3.0,2.0,2.0,2.0,30.0,0.75
612,-0.0275031198315014,-0.0429453055475898,-0.0096860390862211,0.0021251093412904,-0.0223957389357562,0.0,-0.0419579381013048,0.0298770118534453,-0.0582909991581223,-0.009053155771944,-0.008578282201016,-0.0136489651249105,-0.0305410688435929,-0.0207299942666851,-0.0134320443099846,-0.1015798839938347,-0.0403462110973848,-0.0370308966723736,0.0389634234522006,-0.0083780466275207,-0.0155548569135164,0.0322442893410904,0.0115787466005644,0.022231482093649,0.039190526668439,0.0333402051160038,0.0067981309657235,0.0,0.1125362681206968,0.0091968455900082,0.0707353352867634,0.0183413233498157,-0.0071092500591521,-0.066779971721573,-0.0446877477188539,0.0287069413528368,0.0194327022361137,0.0124371521928396,-0.0735668534651787,0.0,3.0,2.0,2.0,3.0,10.0,0.25
613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1573210816433532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,10.0,0.5
614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0415956883408476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,10.0,0.75
615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2253668905322955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,20.0,0.25
616,0.0,-0.0148258961037813,-0.2713315324622583,0.0,-0.0746377186304609,0.0,0.0,-0.0564436010061842,0.0,-0.2045005814218056,0.0,-0.124405097568009,-0.2397952029209144,0.0,-0.1487807073947239,0.0,-0.0030592408752028,0.0,0.0,0.0,-0.0812495791377439,0.0,0.0,-0.1342066288878626,0.0314674351822215,0.0,0.0583835715175167,0.1175562680660354,0.2260244608448098,-0.0805275016329844,0.0,0.0,0.0,0.0,-0.1170823388448664,0.0,0.0,0.0,0.2430882487732721,0.3209354071585467,3.0,2.0,2.0,3.0,20.0,0.5
617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4874427295872008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,20.0,0.75
618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1156909093686647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,30.0,0.25
619,0.0,0.0,0.0,0.0,-0.2910328109416457,0.0,0.0,0.0,0.0,0.0,0.0,-0.0520312501791938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5413413519140133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,30.0,0.5
620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3826864407610679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7911475765191754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1514126802453395,0.0,0.0,3.0,2.0,2.0,3.0,30.0,0.75
621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3960671861279838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2032620392467426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3160668830965597,0.0,0.0,0.0,0.5541372775160017,0.0,0.0,0.3182223624929393,3.0,2.0,3.0,1.0,10.0,0.25
622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0272540930268899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,10.0,0.5
623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5749671540003598,0.0,0.0,0.0,3.0,2.0,3.0,1.0,10.0,0.75
624,0.0681860781101812,-0.1519493792154124,-0.2881239068212647,-0.0264977878409957,0.0999351863850504,-0.0633729030429599,0.0,-0.0765798484308369,-0.1208640747001583,0.0,-0.0294204352766409,-0.0203472763400093,0.0,0.0635270263580977,0.1394021315113533,0.0,-0.1553358192318721,0.0513105140793614,0.0,0.0195192734919648,0.0201370852346264,0.0,-0.0255636027770307,-0.0761439132479007,0.1498789098896559,0.1547103687990446,0.0,0.012354123581707,-0.1520166820859839,0.0712088293330592,0.0,0.1633010123280937,0.0,0.0,0.0980682053490422,-0.1663853855200779,0.1800420908854095,0.0824366062119203,0.0,0.1208015029105043,3.0,2.0,3.0,1.0,20.0,0.25
625,-0.1098909816551426,0.0830616876418651,-0.0460185022738845,-0.1102655132664849,0.1562463851653962,-0.3427398096128692,0.0771546015052717,0.0,0.0125050041381402,-0.0245612258614441,0.0,-0.0713178321678181,0.1437038457167112,0.0,0.0200101392082317,0.0,-0.0605214951112275,0.1045224027405799,-0.1188101863366719,0.0528683816821438,-0.1164569762850941,-0.025688662304038,-0.1923316051490271,0.1208902175868257,0.0387240229459679,-0.1715422140770517,0.0408419889326151,0.119378293162252,0.2897703016666952,-0.1070818679375641,0.2801928144639372,0.0524081776294059,-0.1482091727524146,0.1660051395330352,-0.0214915083459884,-0.1358122108392893,0.0,-0.1213687715129332,-0.0408533040558308,0.1952772817842399,3.0,2.0,3.0,1.0,20.0,0.5
